test_index,candidate,pred_label,precision_B,coverage_empirical
2,natural,1,0.965,0.18064516129032257
10,naturally derived,1,0.99,0.025806451612903226
15,oil,1,0.965,0.07096774193548387
16,vegan,1,1.0,0.03225806451612903
17,hair,1,0.955,0.10967741935483871
18,natural,1,0.965,0.18064516129032257
24,sustainable,1,1.0,0.03225806451612903
25,natural,1,0.96,0.18064516129032257
28,vegan,1,1.0,0.03225806451612903
37,natural,1,0.985,0.18064516129032257
39,natural,1,0.985,0.18064516129032257
42,natural ingredients,1,0.995,0.01935483870967742
47,organic,1,0.965,0.05161290322580645
56,environmentally,1,1.0,0.0064516129032258064
60,organic,1,0.99,0.05161290322580645
63,sustainable,1,1.0,0.03225806451612903
64,bio,1,0.98,0.01935483870967742
69,green,1,0.97,0.05806451612903226
70,hair,1,0.96,0.10967741935483871
71,botanical,1,0.96,0.01935483870967742
72,sustainability,1,0.985,0.0064516129032258064
80,products,1,1.0,0.09032258064516129
84,natural,1,0.99,0.18064516129032257
85,organic,1,0.98,0.05161290322580645
88,natural ingredients,1,1.0,0.01935483870967742
90,botanicals,1,0.985,0.012903225806451613
102,natural,1,1.0,0.18064516129032257
115,ingredients,1,1.0,0.05806451612903226
124,natural,1,0.99,0.18064516129032257
131,naturally derived,1,0.96,0.025806451612903226
136,cruelty free,1,0.965,0.01935483870967742
142,botanicals,1,1.0,0.012903225806451613
