Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
496,Chen 2024,Portfolio Allocation with Dynamic Risk Preferences via Reinforcement Learning,Mathis Jander,Chen2024b,Portfolio Allocation with Dynamic Risk Preferences via Reinforcement Learning,"Computer Science; Economics, Econometrics and Finance",Primary,"The paper proposes a reinforcement learning (RL) model integrated with the mean-variance model to dynamically adjust investors' risk preferences over time.
It aims to outperform static risk preference models and the buy-and-hold strategy in portfolio allocation",Policy-based Method,Portfolio Management,"The RL-based portfolio outperformed both the buy-and-hold strategy and fixed risk preference portfolios.
The Sharpe ratio and Sortino ratio were significantly higher compared to baseline models.
The RL model effectively adjusted risk preference parameters during periods of high market volatility",none,Equity (Stocks),50,Real-world Data,Daily,Time Series,Market Data,,25.06.2003,19.03.2021,No,Asia,No,Yes,None,No,No,No,No,"Sharpe ratio; Other: Sortino ratio, Cumulated return",No,No,Simulation-based,Yes,Market Indexes; Algorithmic Baselines,Yes,No,No,No
496,Chen 2024,Portfolio Allocation with Dynamic Risk Preferences via Reinforcement Learning,Consensus,Chen2024b,Portfolio Allocation with Dynamic Risk Preferences via Reinforcement Learning,"Computer Science; Economics, Econometrics and Finance",Primary,"The paper proposes a reinforcement learning (RL) model integrated with the mean-variance model to dynamically adjust investors' risk preferences over time.
It aims to outperform static risk preference models and the buy-and-hold strategy in portfolio allocation",Policy-based Method,Portfolio Management,"The RL-based portfolio outperformed both the buy-and-hold strategy and fixed risk preference portfolios.
The Sharpe ratio and Sortino ratio were significantly higher compared to baseline models.
The RL model effectively adjusted risk preference parameters during periods of high market volatility",none,Equity (Stocks),50,Real-world Data,Daily,Time Series,Market Data,,25.06.2003,19.03.2021,No,Asia,No,Yes,None,No,No,No,No,"Sharpe ratio; Other: Sortino ratio, Cumulated return",No,No,Simulation-based,Yes,Market Indexes; Algorithmic Baselines,Yes,No,No,No
488,Hambly 2023,Recent advances in reinforcement learning in finance,Mathis Jander,Hambly2023,Recent advances in reinforcement learning in finance,"Business, Management and Accounting; Economics, Econometrics and Finance; Mathematics; Social Sciences",Secondary,"To review recent advancements in reinforcement learning (RL) applied to finance.
To introduce Markov Decision Processes (MDP) as a foundation for RL in finance.
To discuss the applications of RL in financial decision-making, including optimal execution, portfolio optimization, option pricing, market making, smart order routing, and robo-advising​.",Other: n.a.,Other: n.a.,"RL has shown significant promise in adapting to financial environments with large data availability and fewer model assumptions.
Deep RL methods have been increasingly used due to advances in computational power.
RL techniques outperform classical stochastic control models in financial tasks requiring adaptive decision-making.",none,Other: n.a.,n.a.,Other: n.a.,Other: n.a.,Other: n.a.,Other: n.a.,,-,-,No,,No,No,Other: n.a.,No,Yes,No,No,Other: n.a.,No,No,Simulation-based,No,Other: n.a.,n/a,Yes,Yes,Yes
488,Hambly 2023,Recent advances in reinforcement learning in finance,Consensus,Hambly2023,Recent advances in reinforcement learning in finance,"Business, Management and Accounting; Economics, Econometrics and Finance; Mathematics; Social Sciences",Secondary,"To review recent advancements in reinforcement learning (RL) applied to finance.
To introduce Markov Decision Processes (MDP) as a foundation for RL in finance.
To discuss the applications of RL in financial decision-making, including optimal execution, portfolio optimization, option pricing, market making, smart order routing, and robo-advising​.",Other: n.a.,Other: n.a.,"RL has shown significant promise in adapting to financial environments with large data availability and fewer model assumptions.
Deep RL methods have been increasingly used due to advances in computational power.
RL techniques outperform classical stochastic control models in financial tasks requiring adaptive decision-making.",none,Other: n.a.,n.a.,Other: n.a.,Other: n.a.,Other: n.a.,Other: n.a.,,-,-,No,,No,No,Other: n.a.,No,Yes,No,No,Other: n.a.,No,No,Simulation-based,No,Other: n.a.,n/a,Yes,Yes,Yes
485,Barbieri 2020,Discrete-Event Simulation-Based Q-Learning Algorithm Applied to Financial Leverage Effect,Mathis Jander,Barbieri 2020,"Discrete‑Event Simulation‑Based Q‑Learning Algorithm Applied to Financial Leverage Effect
",Computer Science,Primary,Combine discrete-event simulation with RL for financial applications,Value-based Method,Portfolio Management,showcasing benefits of discrete-event simulation for RL application,none,Equity (Stocks),3,Real-world Data,Daily,Time Series,None,,01.02.1991,07.05.20219,No,Europe; North America,No,No,None,No,No,No,No,PnL,No,No,Simulation-based,No,n/a,n/a,No,No,No
485,Barbieri 2020,Discrete-Event Simulation-Based Q-Learning Algorithm Applied to Financial Leverage Effect,Consensus,Barbieri 2020,"Discrete‑Event Simulation‑Based Q‑Learning Algorithm Applied to Financial Leverage Effect
",Computer Science,Primary,Combine discrete-event simulation with RL for financial applications,Value-based Method,Portfolio Management,showcasing benefits of discrete-event simulation for RL application,none,Equity (Stocks),3,Real-world Data,Daily,Time Series,None,,01.02.1991,07.05.20219,No,Europe; North America,No,No,None,No,No,No,No,PnL,No,No,Simulation-based,No,n/a,n/a,No,No,No
477,Li 2021,Take Bitcoin into your portfolio: a novel ensemble portfolio optimization framework for broad commodity assets,Mathis Jander,Li2021,Take Bitcoin into your portfolio: a novel ensemble portfolio optimization framework for broad commodity assets,"Business, Management and Accounting; Economics, Econometrics and Finance",Primary,Design a novel ensemble portfolio optimization (NEPO) framework,Other: not defined,Portfolio Management,"Extended broad commodity asset pool by including bitcoin.
Proposed model with continuous action space for allocation weights.","Framework only uses structured data as input.
Do not consider associated costs like inflation and management costs.",Equity (Stocks); Commodity; Crypto,5,Real-world Data,Daily,Time Series,None,,02.01.2013,21.02.2020,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,No,None,No,Yes,Yes,Yes,"Sharpe ratio; Other: Return, Volatility, MSE, MAE, RMSE, Directional Accuracy",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies,Yes,No,No,No
477,Li 2021,Take Bitcoin into your portfolio: a novel ensemble portfolio optimization framework for broad commodity assets,Consensus,Li2021,Take Bitcoin into your portfolio: a novel ensemble portfolio optimization framework for broad commodity assets,"Business, Management and Accounting; Economics, Econometrics and Finance",Primary,Design a novel ensemble portfolio optimization (NEPO) framework,Other: not defined,Portfolio Management,"Extended broad commodity asset pool by including bitcoin.
Proposed model with continuous action space for allocation weights.","Framework only uses structured data as input.
Do not consider associated costs like inflation and management costs.",Equity (Stocks); Commodity; Crypto,5,Real-world Data,Daily,Time Series,None,,02.01.2013,21.02.2020,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,No,None,No,Yes,Yes,Yes,"Sharpe ratio; Other: Return, Volatility, MSE, MAE, RMSE, Directional Accuracy",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies,Yes,No,No,No
461,Song 2024,Developing an investment method for securities with reinforcement learning,Mathis Jander,Song2024,Developing an Investment Method for Securities With Reinforcement Learning,"Computer Science, Engineering, Materials Science",Primary,Propose and empirically test an investment strategy combining RL agents and SVM-based selection logic.,Actor-Critic Method,Portfolio Management,"Introduced analytical approach to assess risk preference types of RL agents and categorise agents based in their risk preference.
Presented method for classifying agent holding strategies.
Validated effectiveness of approach through experiments.","Ability to adapt to high dimension and rapidly changing market conditions.
Reliance on static classification boundaries.",Equity (Stocks),60,Real-world Data,Daily,Time Series,Market Data,,01.01.2010,01.01.2020,No,North America,No,Yes,Different time series; Different timeframes,No,No,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Calmar ratio, Cumulative returns",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
461,Song 2024,Developing an investment method for securities with reinforcement learning,Consensus,Song2024,Developing an Investment Method for Securities With Reinforcement Learning,"Computer Science, Engineering, Materials Science",Primary,Propose and empirically test an investment strategy combining RL agents and SVM-based selection logic.,Actor-Critic Method,Portfolio Management,"Introduced analytical approach to assess risk preference types of RL agents and categorise agents based in their risk preference.
Presented method for classifying agent holding strategies.
Validated effectiveness of approach through experiments.","Ability to adapt to high dimension and rapidly changing market conditions.
Reliance on static classification boundaries.",Equity (Stocks),60,Real-world Data,Daily,Time Series,Market Data,,01.01.2010,01.01.2020,No,North America,No,Yes,Different time series; Different timeframes,No,No,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Calmar ratio, Cumulative returns",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
