test_index,candidate,pred_label,precision_B,coverage_empirical,anchor_size,beam_width,depth_max
0,sustainabletech,1,1.0,0.0064516129032258064,1,3,2
2,natural,1,0.965,0.18064516129032257,1,3,2
10,naturally AND skincare,1,0.95,0.002663891779396462,2,3,2
14,carbon,1,0.975,0.012903225806451613,1,3,2
15,oil,1,0.965,0.07096774193548387,1,3,2
16,vegan,1,1.0,0.03225806451612903,1,3,2
17,hair,1,0.955,0.10967741935483871,1,3,2
18,natural,1,0.965,0.18064516129032257,1,3,2
24,sustainable,1,1.0,0.03225806451612903,1,3,2
25,natural,1,0.96,0.18064516129032257,1,3,2
28,vegan,1,1.0,0.03225806451612903,1,3,2
37,natural,1,0.985,0.18064516129032257,1,3,2
39,natural,1,0.985,0.18064516129032257,1,3,2
42,ingredients AND natural,1,0.995,0.01048907388137357,2,3,2
47,organic,1,0.965,0.05161290322580645,1,3,2
56,environmentally,1,1.0,0.0064516129032258064,1,3,2
58,organic AND botanical,1,1.0,0.0009989594172736733,2,3,2
60,organic,1,0.99,0.05161290322580645,1,3,2
63,sustainable,1,1.0,0.03225806451612903,1,3,2
64,new,1,0.965,0.14838709677419354,1,3,2
66,renewables,1,1.0,0.0064516129032258064,1,3,2
69,green,1,0.97,0.05806451612903226,1,3,2
70,new,1,0.97,0.14838709677419354,1,3,2
71,botanical,1,0.96,0.01935483870967742,1,3,2
72,sustainability,1,0.985,0.0064516129032258064,1,3,2
76,plant AND skincare,1,0.98,0.002663891779396462,2,3,2
80,products,1,1.0,0.09032258064516129,1,3,2
84,natural,1,0.99,0.18064516129032257,1,3,2
85,organic,1,0.98,0.05161290322580645,1,3,2
88,natural AND ingredients,1,1.0,0.01048907388137357,2,3,2
90,botanicals,1,0.985,0.012903225806451613,1,3,2
102,natural,1,1.0,0.18064516129032257,1,3,2
115,ingredients,1,1.0,0.05806451612903226,1,3,2
116,eco,1,1.0,0.012903225806451613,1,3,2
122,natural AND synthetic,1,0.95,0.001165452653485952,2,3,2
124,natural,1,0.99,0.18064516129032257,1,3,2
131,naturally AND derived,1,0.96,0.001331945889698231,2,3,2
133,plant AND skin,1,0.95,0.008324661810613943,2,3,2
136,cruelty AND products,1,0.965,0.0017481789802289282,2,3,2
142,hydration,1,0.985,0.012903225806451613,1,3,2
