Unnamed: 0,id,tweet,username,domain,label_multi,label_binary
333,819277211551338496,Stock up on your fave shade! Save $4 on 2 #Nutrisse boxes @walgreens  https://t.co/bbkwPbFzs4 (&amp; see a sneak peek of new #UltraColor!)  https://t.co/8PmqHSgavi,garnierusa,cosmetics,not_green,0
44,1360219607454384128,Each year we welcome up to 350 apprentices - helping them kick start their careers through our 42 apprenticeship programmes #BuildTheFuture #NAW21  Read more:  https://t.co/uWj9Si2VoA  https://t.co/KXxygQ7llz,dixonscarphone,electronics,not_green,0
45,1236335831176134656,"Our Pineapple + Maqui Berry + Coconut Hand wash will clean your hands and nurture your skin with a formula made with plant-derived ingredients, organic extracts and nourishing botanicals. The smell is 100% uplifting, happy and gorgeous too.  https://t.co/smgpN3xObb  https://t.co/ohH2BNBh5U",rawsugarliving,cosmetics,explicit_claim,1
138,1084585839894716419,"Perk up with the icy-cool tingle of Rosemary Mint and its 100% naturally-derived* aroma. (*from plants, non-petroleum minerals and water)  https://t.co/RZg5xVK9xS  https://t.co/CLXsE7TGJO",aveda,cosmetics,explicit_claim,1
25,990230823533273088,"We can’t wait to try this weekend #LipLook 💋. Apply #LipstickEnvy Matte in Smash Up to the center of your pout, then blend #PureColorEnvy Paint-On Liquid LipColor in Wine Shot in from the outer edges for a metallic ombré sheen. Get #LipsToEnvy now:  https://t.co/wYDiXWpekr  https://t.co/PecQdE64bh",esteelauder,cosmetics,not_green,0
132,1206241345247076352,"Does the #winter weather have your lips feeling dry? Give them some TLC with our creamy, lightweight #LipButters! Available in three botanical flavors. Shop Now:  https://t.co/0jz5Klc2PL  https://t.co/VZtO9EMkeA",burtsbees,cosmetics,not_green,0
110,1109107558437044229,We're proud to announce that from 2017 to 2018 we reduced our collective water consumption by nearly 10 percent! #WorldWaterDay #Sustainability Matters 💧  https://t.co/SMpgjv88Zh,whirlpoolcorp,electronics,explicit_claim,1
34,846017668331307008,Evolution of the Canon logo #history #WayBackWednesday  https://t.co/i6ohvqxvVk,canonusa,electronics,not_green,0
138,842822837748420609,"What can we say, green is our color ☘️💚 #HappyStPatricksDay  https://t.co/HJ28hgwfra",garnierusa,cosmetics,not_green,0
77,1189644410364915712,We're honored to be recognized by @USGBC with a 2019 Leadership Award celebrating C-P’s 15 TRUE Zero Waste certified manufacturing sites on 4 continents and 13 LEED certifications for green buildings in 8 countries. #sustainability   https://t.co/2i3pgfiVdp,cp_news,cosmetics,explicit_claim,1
121,994596379266895872,"#tbt In 1964, we were at the forefront of developing the ""Shinkansen"", a word synonymous in Japan with high-speed rail.  https://t.co/mqkX2yKOBj  https://t.co/6Zn0Xu1IGf",hitachiglobal,electronics,not_green,0
171,889877982743064576,"Treat your curls to  #Fructis Curl Nourish for for a gentle cleanse, that doesn’t strip hair’s natural moisture for frizz-resistant #curls.  https://t.co/X0Pe4q0Dr1",garnierusa,cosmetics,not_green,0
77,920530261036752896,It's that time already! How to find a Christmas temp job  https://t.co/ApTuNNAc4h,dixonscarphone,electronics,not_green,0
82,1312278710645526528,"Keep your cool this summer with our new Special Edition Cool Cucumber range. Made with cucumber juice and Community Fair Trade organic almond milk and shea butter, this range is instantly cooling and is the perfect treat for keeping cool and cleansed all summer.",thebodyshopsa,cosmetics,explicit_claim,1
173,913898726728589313,Your search for the right skillset to build engaging desktop &amp; web applications ends here. #richinternetapplications  https://t.co/t2TcbtOR2p  https://t.co/Bkr23Bq6St,clarion_tech,electronics,not_green,0
68,1280523287970361345,"Our brand Garnier commits to Green Beauty 🌱  By 2025, all products will be made with Zero Virgin Plastic, all #packaging will be reusable, recyclable or compostable, and all industrial sites will be #carbonneutral 🌍  https://t.co/aG0xjBWXdc",loreal,cosmetics,explicit_claim,1
112,929885034235998208,Bi-Wiring and Bi-Amping Explained | Audio Advice  https://t.co/qA8d9SErNf  https://t.co/VZVcftLrno,audioadvice,electronics,not_green,0
306,1133044107885129728,"Since L'Oréal was founded over a century ago, we have made targeted acquisitions to build a global flotilla of iconic, diverse and complementary 36 brands. Learn how #acquisitions bolster our brand portfolio to ensure organic growth ↗️   https://t.co/lLZiXyItU4 #finance  https://t.co/hqhY7w5YXK",loreal,cosmetics,not_green,0
46,1253006903837417476,"As a baby skincare brand, we care about our little one’s not only by using natural, safe and hypoallergenic ingredients, but also by building a greener and healthier planet for them to live on. ⁠ As a @BCorp brand, we have made a pledge to protect our planet by:⁠  https://t.co/VVnFvswooh",mustelausa,cosmetics,explicit_claim,1
119,1219258281966870528,"Plant-powered Hydration: Organic pomegranate oil, Mango butter &amp; Organic coconut oil. Find these superfoods in Nutriplenish and feed dry strands with moisture.  https://t.co/Jr0PXhH5yk  #aveda #nutriplenish #vegan  https://t.co/HL3II3x4IB",aveda,cosmetics,explicit_claim,1
54,1133613945602940929,"#DidYouKnow that our teams are developing “health management” #beautytech helping doctors &amp; dermatologists to establish diagnosis for patients? For example, La Roche-Posay recently launched My Skin Track UV – the first ever wearable, connected battery-free UV sensor  🤳 📱 #tech  https://t.co/2DoKj5JhMm",loreal,cosmetics,not_green,0
40,1250723105128845315,"Your life at home office is too dreary for you? Make it more colourful with your new hair colour. It's easy at home - With Onlylove Colorations, your hair shines intensely and healthily for the perfect natural look.  https://t.co/2QoTi9s3dw #schwarzkopf #strongertogether #staysafe  https://t.co/0HeJYsrBQW",schwarzkopf,cosmetics,not_green,0
138,937048922052354049,How naturals offer a safe haven in a world seen as potentially dangerous @lobsoco #MonthyDigest  https://t.co/RxmtH0VTHs  https://t.co/Yqbap0Jbl9,loreal,cosmetics,implicit_claim,1
83,1291082550165876736,"✨NEW✨ Protect Your Look Bundle 💄😍 Whether you’re doing full face glam or a minimal makeup look, this bundle has everything you need to keep it flawless 24/7! Includes: ☀️ SunFilter 💧 Primed &amp; Ready   🌱 Dewy Dew   🎁 FREE Eco-Friendly Kabuki Makeup Brush  https://t.co/gy8vXTrZHG",bioclarity,cosmetics,explicit_claim,1
16,1357403629746012160,Congratulations to our Chief Sustainability Officer and Director of Global Sustainability Ron Voglewede for being named to Michigan Governor Gretchen Whitmer's new Council on Climate Solutions.  https://t.co/B5MlrGcwxT  https://t.co/GQxfdp0Kmv,whirlpoolcorp,electronics,implicit_claim,1
190,1177236391446683649,"Feed your lips. Our new color lip balm is 93% naturally derived* from ingredients like pomegranate and avocado.  *From plants, non-petroleum minerals or water. . #Aveda  #SelfCare  https://t.co/B9nULAy01P",aveda,cosmetics,implicit_claim,1
58,1086201670957035520,"How can we replicate the last decade's dramatic progress on social, economic and environmental challenges in the next one? @TheEconomist asks and @HitachiGlobal answers… #WEF #DAVOS #SocialInnovation #SDGs",hitachiglobal,electronics,implicit_claim,1
201,930323975024009216,The Commemorative Edition of one of the greatest Australian rock albums of all time @JimmyBarnes 'For The Working Class Man' is available now @JBHiFi for a limited time!   https://t.co/nodm4dU2WI  https://t.co/IKMwkokQJB,jbhifi,electronics,not_green,0
355,1185161972154851329,Congratulations to @NASA astronauts @Astro_Jessica and @Astro_Christina on the first all-female #spacewalk. #ShowUs one giant leap for womankind!🚀👩‍🚀 👩‍🚀💫  https://t.co/R3vmIidwnu,dove,cosmetics,not_green,0
250,872782640860057600,"Nokia's Open #Innovation Challenge to leverage #IoT technologies enabling a smart, safe &amp; sustainable world  https://t.co/iWQXMOPKmO @NGP_VC  https://t.co/Rvtv2olhCV",nokia,electronics,implicit_claim,1
166,1193867258810044418,"I truly care about all of our oceans! That's why I like Oriflame - they only work with 100% natural origin exfoliants, like almond kernels and salt, in their beauty products.  https://t.co/oJr2NNBOZK",oriflameuk,cosmetics,explicit_claim,1
69,842707113780555777,"We're decked out in green today, which includes using our fresh Verbena range. Happy St. Patrick’s Day!  https://t.co/RSCYI4fCzf  https://t.co/XvNNjimgzK",loccitaneusa,cosmetics,not_green,0
19,847901319759142912,"Give your cheeks a rush of color. Go bold, romantic or natural with Pure Color Envy Sculpting Blush. Shop now:  https://t.co/G8EPQKzOzk  https://t.co/qhjYBjif5i",esteelauder,cosmetics,not_green,0
72,1112754024577675266,What's one of the top questions we get from you guys? Is @yesto like pesto? Yup! Introducing the NEW Yes To Pesto Mud Mask!   Just kidding!!! Happy April Fools'! 😜  https://t.co/gfnSpnuZPX,yesto,cosmetics,not_green,0
84,1037627718479867905,"""F9 is the first time I’d say a phone looks straight-up better with its notch than it would without."" @verge  https://t.co/lll0jVu2HD",oppo,electronics,not_green,0
46,1248011290905161729,"CBD has become one of the buzziest trends in #beauty for its calming &amp; nourishing effects. Have you tried Green Goddess Facial Oil, our very first facial oil formulated with 100mg of CBD from domestically grown hemp?  https://t.co/mg9WTEVL7v",avoninsider,cosmetics,explicit_claim,1
12,1322614414634344450,"Do you want to know what’s scary? The trash we discard pollutes our land, clogs our waterways, depletes our natural resources, and contaminates the air we breathe. 🗑🎃 #Halloween  https://t.co/kRwDvcuL95",microsoft,electronics,implicit_claim,1
38,1131461653177016320,"At 2019 IEEE, we explored a vision for #6G and the future of connected intelligence which will dramatically change the way we live and work. 🌐  Read the full story:  https://t.co/3HT1Xw6qTI  https://t.co/iK2KA1V67b",oppo,electronics,not_green,0
37,1325846372734570496,"Love this in-store #recycling kiosk in Brazil that also promotes Colgate Natural Extracts toothpaste, now in our #recyclable tubes! Shoppers insert recyclable material and receive benefits like discounts or cashback or send donations to NGOs. #caring #circulareconomy  https://t.co/12BX4l4x5Y",cp_news,cosmetics,explicit_claim,1
204,1321451667527749634,"We understand the power and potential of harnessing nature, which is why we aim to use naturally derived ingredients in our formulations whenever possible.  Celebrate #SustainabilityDay with us and learn more about how we incorporate sustainability on  https://t.co/nJjDmlTS2S  https://t.co/n0Iu8FdpNl",aveda,cosmetics,explicit_claim,1
0,1298757190677913600,"Formulated with Dragon Fruit and Passion Fruit Extracts and Niacinamide, the Limited Edition 2-in-1 Color Mystery Mask moisturizes to enhance the look of brightness by supporting your skin's moisture barrier.  https://t.co/Ch6bXb2AK4  https://t.co/Sy73SzxuCU",arbonne,cosmetics,not_green,0
166,859437493984350208,Stylist @michaelduenas gave @amanda_montell a beachy texture 💚 Mix Pure Clean Mousse + Pure Clean #DryShampoo (exclusive @targetstyle 🎯 )  https://t.co/q6LV4mBwlN,garnierusa,cosmetics,not_green,0
