term,mean_tfidf_green,mean_tfidf_non_green,diff_green_minus_non,ratio_green_over_non,doc_freq
organic,0.026989309005009225,0.00202998726436564,0.024959321740643584,13.295309515721483,36
ingredients,0.027209642696885774,0.0022885114731133276,0.024921131223772448,11.889668461648423,40
sustainability,0.024666018233825453,0.0,0.024666018233825453,24666018234.82545,22
sustainable,0.02190066293788491,0.0004390997421324518,0.02146156319575246,49.87628273851826,21
products,0.021499550739405793,0.0031724637429287254,0.018327086996477067,6.776925593413122,35
derived,0.018249359958030474,0.0,0.018249359958030474,18249359959.03047,22
oil,0.019711550433676436,0.003996511995836863,0.015715038437839574,4.932188480924772,33
naturally derived,0.014681183566403787,0.0,0.014681183566403787,14681183567.403788,17
natural ingredients,0.014664861036219192,0.0,0.014664861036219192,14664861037.219193,14
natural,0.03219469241335122,0.017922483850763178,0.01427220856258804,1.7963298324402714,101
skin,0.031023087210177415,0.01837451821088033,0.012648568999297085,1.6883755456030927,74
hair,0.020647735743419163,0.008386199717982854,0.01226153602543631,2.462108754419634,38
vegan,0.011710467524484848,0.0,0.011710467524484848,11710467525.48485,11
coconut,0.012420689051980845,0.0007402001296387871,0.011680488922342058,16.780176791190087,13
energy,0.013743023292415089,0.0025026259481590748,0.011240397344256014,5.4914412191853845,14
naturally,0.01528004496260184,0.004162332956014542,0.011117712006587298,3.671028992971658,26
nature,0.011633802391818195,0.0006755093483161273,0.010958293043502067,17.222267026497907,11
environmental,0.010813478083224231,0.0,0.010813478083224231,10813478084.224232,7
botanicals,0.01108343719373697,0.000548964326472661,0.01053447286726431,20.189722064024167,14
certified,0.01150923254026308,0.0013137307869778266,0.010195501753285253,8.760723769729704,13
waste,0.009862210539425344,0.0,0.009862210539425344,9862210540.425344,8
recyclable,0.009841220385380349,0.0,0.009841220385380349,9841220386.38035,9
plant,0.010369049804061873,0.000553834562744942,0.00981521524131693,18.722287274647492,12
matters,0.009782354476408612,0.0,0.009782354476408612,9782354477.408613,5
sustainability matters,0.009782354476408612,0.0,0.009782354476408612,9782354477.408613,5
love,0.016037501780937678,0.0062850949543866936,0.009752406826550986,2.5516721538459177,29
cruelty,0.009251056802882712,0.0,0.009251056802882712,9251056803.882713,8
cruelty free,0.009251056802882712,0.0,0.009251056802882712,9251056803.882713,8
body,0.011319032671112894,0.0020847266551226587,0.009234306015990235,5.429504457512399,15
beauty,0.014231855140379822,0.005007829809327699,0.009224025331052123,2.8419206882848376,24
water,0.012284646164026917,0.00310213705266983,0.009182509111357087,3.960059131009113,16
green,0.017927143648684984,0.008889643555687811,0.009037500092997173,2.016632448237829,36
planet,0.009705569329018428,0.0007070508811569504,0.008998518447861478,13.726832926663397,8
origin,0.008918323141580878,0.0,0.008918323141580878,8918323142.58088,6
trade,0.008606320318682149,0.0,0.008606320318682149,8606320319.68215,10
foodwaste,0.008340443616038083,0.0,0.008340443616038083,8340443617.038083,4
range,0.01103528813241466,0.0029375740803837553,0.008097714052030905,3.756599094248696,16
butter,0.00861077030299653,0.0005227017327606376,0.008088068570235892,16.473582825228746,11
earthday,0.007996516295594294,0.0,0.007996516295594294,7996516296.594295,8
sourced,0.007975484009203806,0.0,0.007975484009203806,7975484010.203807,8
natural origin,0.007937636222305658,0.0,0.007937636222305658,7937636223.305658,5
bio,0.007723698933539847,0.0,0.007723698933539847,7723698934.539847,7
hydration,0.008196278973969816,0.0007497553845482696,0.007446523589421546,10.93193744647285,11
derived ingredients,0.007166865449878945,0.0,0.007166865449878945,7166865450.878946,7
coconut oil,0.007084566022394919,0.0,0.007084566022394919,7084566023.394919,8
care,0.014091568723362409,0.007020960655364382,0.007070608067998026,2.007071313181144,28
plastic,0.0070143729341562155,0.0,0.0070143729341562155,7014372935.156216,6
innovation,0.007441063124124804,0.0004912362800267683,0.0069498268440980355,15.147625312958771,7
skin url,0.0074692082397320725,0.0006972925911937501,0.006771915648538323,10.711727507721285,9
world,0.011133821965226606,0.0045325487317850795,0.006601273233441526,2.456415280368159,15
sustainability url,0.00652321572175164,0.0,0.00652321572175164,6523215722.75164,5
monthlydigest,0.006499963294529138,0.0,0.006499963294529138,6499963295.529139,5
monthlydigest url,0.006499963294529138,0.0,0.006499963294529138,6499963295.529139,5
skincare,0.012819943346808256,0.006501853017938442,0.006318090328869814,1.9717368741598176,26
means,0.007027344936534123,0.000722601865862184,0.0063047430706719395,9.725057822019703,5
essential,0.006689334954543361,0.0005346252096157226,0.006154709744927638,12.512195127946399,8
community trade,0.006093063812564017,0.0,0.006093063812564017,6093063813.564017,6
botanical,0.006768661351597398,0.0006992788332282151,0.006069382518369183,9.679488383296889,7
nutriplenish,0.006015154306990288,0.0,0.006015154306990288,6015154307.990289,4
clean,0.01154330962327352,0.00552874686541183,0.006014562757861689,2.087870887054222,21
possible,0.005951148483877752,0.0,0.005951148483877752,5951148484.877752,4
come,0.006532330288349136,0.0005917188814289336,0.005940611406920202,11.039583970237217,5
deodorants,0.005889518297148254,0.0,0.005889518297148254,5889518298.148254,4
non,0.006349193877298676,0.0004928160444042361,0.0058563778328944395,12.883496666774926,8
environmentally,0.005854538335457562,0.0,0.005854538335457562,5854538336.457562,4
kew,0.0056997483528386786,0.0,0.0056997483528386786,5699748353.838679,6
sustainable future,0.0056708978191994785,0.0,0.0056708978191994785,5670897820.199479,5
bamboo,0.005644624349839327,0.0,0.005644624349839327,5644624350.839327,2
trade organic,0.005571557734292883,0.0,0.005571557734292883,5571557735.292884,7
enriched,0.006087407700697704,0.000527575665347623,0.005559832035350081,11.538454272996496,8
brand,0.008364571400350528,0.0028137254702431313,0.005550845930107397,2.9727745250338797,14
community,0.0074568637783754685,0.001922155646330718,0.00553470813204475,3.879427657032226,12
cocoa,0.00553113141235985,0.0,0.00553113141235985,5531131413.359851,5
food,0.008223744086088705,0.002698957278854337,0.005524786807234368,3.0470078754016225,9
oceans,0.005420133149502177,0.0,0.005420133149502177,5420133150.502177,3
biodegradable,0.005349574914476719,0.0,0.005349574914476719,5349574915.47672,5
free,0.013412124358316636,0.008065493242705599,0.005346631115611037,1.6629019396654516,30
naturals,0.005287180999865667,0.0,0.005287180999865667,5287181000.865667,4
effective,0.0062082456082384364,0.0009236054983274473,0.005284640109910989,6.721750372598656,7
colgate,0.00524241196734059,0.0,0.00524241196734059,5242411968.3405905,4
avocado,0.005167241373341592,0.0,0.005167241373341592,5167241374.341593,4
collection,0.009005410831581047,0.0038654568650872832,0.005139953966493764,2.3297144799591467,18
responsibly,0.0051128251434310375,0.0,0.0051128251434310375,5112825144.431038,4
earth,0.0050802909693012386,0.0,0.0050802909693012386,5080290970.301239,4
botanic,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
botanic gardens,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
gardens,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
gardens kew,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
kew user,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
royal,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
royal botanic,0.004975509882583835,0.0,0.004975509882583835,4975509883.583836,6
create,0.008913706598662117,0.004036678754769023,0.004877027843893094,2.208178341395903,14
buildings,0.004842189543128234,0.0,0.004842189543128234,4842189544.128234,3
extracts,0.007041591633986025,0.0022696654477007854,0.00477192618628524,3.102479988412747,11
bath,0.0061212939355562825,0.0013729162315601726,0.0047483777039961095,4.458607008485492,8
head,0.005852929043127106,0.001106221925368708,0.004746707117758398,5.29091758589524,8
recycled,0.004735028517146682,0.0,0.004735028517146682,4735028518.146683,3
end,0.00472242953514159,0.0,0.00472242953514159,4722429536.141591,4
beauty products,0.004663174304821108,0.0,0.004663174304821108,4663174305.821109,4
open,0.005279987154399522,0.0006243330857794253,0.004655654068620096,8.457003588638774,6
bio renew,0.004655297176158709,0.0,0.004655297176158709,4655297177.15871,4
formula,0.006436641651345359,0.0017820702987690863,0.004654571352576273,3.6118898638170416,10
