Title,Ref,Search,ML Technique(s),XAI Technique(s),Field,Novelty / Application,Limitations (if mentioned),Future Directions (if any),Year
FLEXtime: Filterbank learning to explain time series,\cite{brusch_flextime_2024},All Fields,,"Input x Gradients (I*G), Guided Backpropagation (GB), Integrated Gradients (IG), FreqRISE, FreqMask, FLEXtime",Artificial Intelligence,Novelty,"One current limitation of the method is that it requires tuning or choice of hyperparameters for the filterbank. Especially, if no expert knowledge is available. Also, the filterbank design of FLEXtime offers only insights into the frequency domain, and no explanation of time relevant features","Automatic filterbank design could be a fruitful future direction for development. Also, focus on exploring the trade-off between the two and potentially incorporating insights from both domains via new filterbank designs",2024
FreqRISE: Explaining time series using frequency masking,\cite{brusch_freqrise_2024},All Fields,"Short-Time Fourier Transform, Multi-Layer Perceptron (MLP)","Integrated Gradients (IG), Layer-wise Relevance Propogation (LRP), FreqRISE",Artificial Intelligence,Novelty,No principled way of choosing hyperparameters. Results indicate that the gradient-based methods (IG and LRP) both are susceptible to noise in the data,Developing metrics that measure the most informative domains for XAI. Focus on a more rigorous heuristic for choosing suitable thresholds for post-processing of the FreqRISE relevance maps. FreqRISE computational complexity.,2024
Ister: Inverted Seasonal-Trend Decomposition Transformer for Explainable Multivariate Time Series Forecasting,\cite{cao_ister_2024},All Fields,Transformer: Inverted Seasonal-Trend Decomposition Transformer (Ister),Feature Ablation,Artificial Intelligence,Application,Lack of interpretability in existing long-term time series forecasting (LTSF) forecasters,Improving Ister’s interpretability by providing a clearer rationale for its predictions,2024
EDformer: Embedded Decomposition Transformer for Interpretable Multivariate Time Series Predictions,\cite{chakraborty_edformer_2024},All Fields,Transformer: Embedded Decomposed Transformer (EDformer),"Feature Ablation, Feature Occlusion, Integrated Gradients (IG), SHAP, SHAP: GradientSHAP, Windowed Feature Importance in Time (WinIT)",Artificial Intelligence,Application,,,2024
PUPAE: Intuitive and Actionable Explanations for Time Series Anomalies,\cite{der_pupae_2024},All Fields,,Counterfactual Explanations: PUPAE (Personalizable Universal Plausible Anomaly Explanations),Artificial Intelligence,Novelty,One the most cited problems with deployments of time series anomaly detection (TSAD) algorithm is false alarm fatigue,"If it is noted that most false alarms have similar explanations, the observation retrieved could be exploited to improve the algorithms",2024
Evaluating the Explainable AI Method Grad-CAM for Breath Classification on Newborn Time Series Data,\cite{oprea_evaluating_2024},All Fields,Convolutional Neural Network (CNN),Gradient-weighted Class Activation Mapping (Grad-CAM),Healthcare,Application,"Explanations were criticized for highlighting meaningful segments but yielding the wrong classification. The provided visualizations are reasoned to yield uncertainties in the interpretation of the results. The influence of the separate explanations on the final classification was not clear and thus abstruse to most users. Desire for a more explicit explanations. Also, the choice for a CNN-based classification brings the constraint of a fixed length input",,2024
Explanation Space: A New Perspective into Time Series Interpretability,\cite{rezaei_explanation_2024},All Fields,"Convolutional Neural Network (CNN): ResNet, InceptionTime","DeepLIFT, SHAP: GradientSHAP, Guided Backpropagation (GB), Input x Gradients (I*G), Integrated Gradients (IG), SHAP: KernelSHAP, LIME",Artificial Intelligence,Novelty,,,2024
Time-series attribution maps with regularized contrastive learning,\cite{schneider_time-series_2025},All Fields,Multi-Layer Perceptron (MLP),"Feature Importance: Feature Ablation, Inverted Neuron Gradient, SHAP, Integrated Gradients (IG), Neuron Gradient",Artificial Intelligence,Novelty,,Adopting the contrastive learning algorithm from Hyvarinen et al. could theoretically improve results by achieving identifiability up to permutations and point-wise bijective transforms (it however requires stricter conditions and more complex training),2025
Improving the Evaluation and Actionability of Explanation Methods for Multivariate Time Series Classification,\cite{serramazza_improving_2024},All Fields,"Convolutional Neural Network (CNN): ResNet, dResNet, MiniRocket, ConvTran, Tabular-baseline","Feature Importance: Feature Ablation,Feature Importance: Feature Permutation, Integrated Gradients (IG), DeepLift, SHAP: DeepLiftSHAP,  SHAP, SHAP: GradientSHAP, SHAP: KernelSHAP",Artificial Intelligence,Application,,"More work is also required to better understand and address the maskselection problem highlighted in the InterpretTime method. Selecting one single distribution for masking is not enough, because different masks can lead to different ranking",2024
Explainable Time Series Prediction of Tyre Energy in Formula One Race Strategy,\cite{todd_explainable_2025},All Fields,"Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM), Extreme Gradient Boosting (XGBoost), Linear Regression (LR), Gated Recurrent Unit (GRU), Transformer: Temporal Fusion Transformer (TFT)",Feature Importance,Car Racing,Application,,Test how much users are willing to trust the model,2025
