"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5IXHRJQ5","conferencePaper","2024","Devi, P.; Desai, S.S.; Kumar, R.; Naruka, M.S.; Tripathi, V.","A Strategic Innovations for Stock Market Optimization by Using Data Science & Explainable AI in High Frequency Trading","Proc. Int. Conf. IoT Based Control Networks Intell. Syst., ICICNIS","979-833151809-7 (ISBN)","","10.1109/ICICNIS64247.2024.10823313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217183271&doi=10.1109%2fICICNIS64247.2024.10823313&partnerID=40&md5=4b18f7131075bfe7458250cdab4c52e8","In the era of technology, financial markets especially stock market has been completely transformed through the integration of data science and explainable artificial intelligence. This paper presents a comprehensive analysis of evolution in the high frequency trading with the support of XAI and data science which made it possible to do financial transactions in extremely high speeds, often within milliseconds. But with the execution of these techniques HFT raises few concerns regarding transparency, interpretability and complexity. This study explores how data science shapes the strategies of HFT such as market making, arbitrage strategies: simple arbitrage, triangle arbitrage, statistical arbitrage etc. This study also explores how XAI and data science techniques such as machine learning, big data analytics, momentum trading and quantum computing are being employed in optimizing trading strategies to improve the decision making and liquidity in stock market. It includes regulations of high frequency trading at global level and challenge faced by financial sector in adopting these technologies. This study investigates the qualitative Scopus indexed journal papers and IEEE explores paper for the referencing the data to find out the authenticated literature review. This study will help out to market participants such as traders, investors, policymakers who aims to navigate the future of finance in India.  © 2024 IEEE.","2024","2025-02-19 08:50:28","2025-02-19 08:50:28","","1510-1515","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/8Q8KN9JQ/Devi et al. - 2024 - A Strategic Innovations for Stock Market Optimization by Using Data Science & Explainable AI in High.pdf","","","Interpretability; Explainable artificial intelligence (XAI); High-frequency trading; Marketplaces; Optimisations; Comprehensive analysis; Data Science; Explainable artificial Intelligence (XAI); Financial transactions; High frequency trading; High frequency trading (HFT); High Speed; Stock Market; Strategic innovations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of 5th International Conference on IoT Based Control Networks and Intelligent Systems, ICICNIS 2024","","","","","","","","","","","","","","",""
"DZNRN74P","journalArticle","2024","Han, H.; Yi-Lin Forrest, J.; Wang, J.; Yuan, S.; Han, F.; Li, D.","Explainable machine learning for high frequency trading dynamics discovery","Information Sciences","","00200255 (ISSN)","10.1016/j.ins.2024.121286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200765090&doi=10.1016%2fj.ins.2024.121286&partnerID=40&md5=d5a8a9d89ed74d7b2eb89a93eceb4ed2","High-frequency trading (HFT) plays an essential role in the financial market. However, discovering and revealing trading dynamics remains a challenge in Fintech. In this study, we propose a novel explainable machine learning approach: Feature-Interpolation-based Dimension Reduction SCAN (FIDR-SCAN) to address the challenge by creating a trading map. The trading map deciphers an HFT security's trading dynamics by marking the status of each transaction, grouping transactions in clusters, and identifying the trading markers. The proposed method presents new feature interpolation techniques to build a more informative and explainable feature space, unveiling hidden trading behaviors. It mines HFT data in their low-dimensional embedding to seek exceptional trading markers and classify the statuses of transactions. We validate the meaningfulness and effectiveness of the trading markers discovered by FIDR-SCAN in trading as well as examining its special characteristics. Additionally, we apply the proposed algorithm to cryptocurrency data and achieve reliable performance. We design AI trading algorithms by reusing trading markers identified during explainable trading dynamics discovery, applying them to HFT stock and cryptocurrency markets, besides constructing trading machines using identified trading markers. To the best of our knowledge, this study is the first to use interpretable machine learning to reveal HFT trading dynamics. © 2024 Elsevier Inc.","2024","2025-02-19 08:50:28","2025-02-19 08:50:28","","","","","684","","Inf Sci","","","","","","","","English","","","Scopus","","","","","","","","","Machine-learning; Explainable AI; Electronic trading; Machine learning; Machine learning approaches; High-frequency trading; Electronic money; Dimension reduction; Dynamic discovery; Dynamics; Feature interpolation; Interpolation; Interpolation techniques; Securities trading; Trading dynamic; Trading dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SEEEVEZ","journalArticle","2025","Al-dahasi, E.M.; Alsheikh, R.K.; Khan, F.A.; Jeon, G.","Optimizing fraud detection in financial transactions with machine learning and imbalance mitigation","Expert Systems","","02664720 (ISSN)","10.1111/exsy.13682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199199963&doi=10.1111%2fexsy.13682&partnerID=40&md5=700c0eedb2d6f38029e0dc26bba57d44","The rapid advancement of the Internet and digital payments has transformed the landscape of financial transactions, leading to both technological progress and an alarming rise in cybercrime. This study addresses the critical issue of financial fraud detection in the era of digital payments, focusing on enhancing operational risk frameworks to mitigate the increasing threats. The objective is to improve the predictive performance of fraud detection systems using machine learning techniques. The methodology involves a comprehensive data preprocessing and model creation process, including one-hot encoding, feature selection, sampling, standardization, and tokenization. Six machine learning models are employed for fraud detection, and their hyperparameters are optimized. Evaluation metrics such as accuracy, precision, recall, and F1-score are used to assess model performance. Results reveal that XGBoost and Random Forest outperform other models, achieving a balance between false positives and false negatives. The study meets the requirements for fraud detection systems, ensuring accuracy, scalability, adaptability, and explainability. This paper provides valuable insights into the efficacy of machine learning models for financial fraud detection and emphasizes the importance of striking a balance between false positives and false negatives. © 2024 John Wiley & Sons Ltd.","2025","2025-02-19 08:50:28","2025-02-19 08:50:28","","","","2","42","","Expert Syst","","","","","","","","English","","","Scopus","","","","","","","","","Machine-learning; Machine learning models; Fraud detection; Machine learning; Fraud detection system; Random forests; Finance; machine learning; Crime; Financial fraud detections; Financial transactions; fraud detection; False positive and false negatives; financial transactions; Random Forest; Technological progress; Xgboost; XGBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHWP397Y","conferencePaper","2024","Jiang, W.; Yin, P.; Zhu, W.","Cryptocurrency Transaction Fraud Detection Based on Imbalanced Classification with Interpretable Analysis","Lect. Notes Bus. Inf. Process.","18651348 (ISSN); 978-303160259-7 (ISBN)","","10.1007/978-3-031-60260-3_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195377190&doi=10.1007%2f978-3-031-60260-3_32&partnerID=40&md5=5053c087bd66f5750539c5144d4d0cf2","Given the significant distribution disparity between normal and fraudulent transaction data in cryptocurrency samples, as well as the complex high-dimensional nature of transaction data with non-linear relationships, this study introduces an interpretable imbalanced data classification method for detecting cryptocurrency transaction fraud. We address data imbalance using SMOTE oversampling and data augmentation through contrastive learning. Next, we introduce a Transformer-based deep learning model that learns sample relevance. The model undergoes pre-training with a contrastive loss and fine-tuning through Bayesian optimization to effectively extract high-dimensional, higher-order, and fraud-related features. We employ a SHAP-based interpreter along with attention scores to elucidate the role of various transaction features in fraud detection. Comparative results demonstrate the model's remarkable recall performance in identifying cryptocurrency transaction fraud. Furthermore, it achieves an excellent F1 value, striking a balance between accuracy and recall. Ablation experiments affirm the necessity of the proposed data balancing and pre-training-fine-tuning strategies, highlighting their effectiveness in addressing imbalanced data classification issues. This research not only enriches financial fraud detection but also enhances cryptocurrency transaction security, promotes market development, and contributes to economic stability and social security. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","2024","2025-02-19 08:50:28","2025-02-19 08:50:28","","386-398","","","516 LNBIP","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","","","","","","Deep learning; Learning systems; Fraud detection; Imbalanced data; Crime; Classification (of information); Data classification; Extremely imbalanced data classification; cryptocurrency; Electronic money; extremely imbalanced data classification; Fine tuning; fraud detection; High-dimensional; Higher-dimensional; Interpretable analyse; interpretable analysis; Pre-training; Transaction data","Tu Y.P.; Chi M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Business Information Processing","","","","","","","","","","","","","","",""
"HR6LXUB3","journalArticle","2024","Awosika, T.; Shukla, R.M.; Pranggono, B.","Transparency and Privacy: The Role of Explainable AI and Federated Learning in Financial Fraud Detection","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2024.3394528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192144145&doi=10.1109%2fACCESS.2024.3394528&partnerID=40&md5=4c716a41d912c1dfe9519e23376190e3","Fraudulent transactions and how to detect them remain a significant problem for financial institutions around the world. The need for advanced fraud detection systems to safeguard assets and maintain customer trust is paramount for financial institutions, but some factors make the development of effective and efficient fraud detection systems a challenge. One of such factors is the fact that fraudulent transactions are rare and that many transaction datasets are imbalanced; that is, there are fewer significant samples of fraudulent transactions than legitimate ones. This data imbalance can affect the performance or reliability of the fraud detection model. Moreover, due to the data privacy laws that all financial institutions are subject to follow, sharing customer data to facilitate a higher-performing centralized model is impossible. Furthermore, the fraud detection technique should be transparent so that it does not affect the user experience. Hence, this research introduces a novel approach using Federated Learning (FL) and Explainable AI (XAI) to address these challenges. FL enables financial institutions to collaboratively train a model to detect fraudulent transactions without directly sharing customer data, thereby preserving data privacy and confidentiality. Meanwhile, the integration of XAI ensures that the predictions made by the model can be understood and interpreted by human experts, adding a layer of transparency and trust to the system. Experimental results, based on realistic transaction datasets, reveal that the FL-based fraud detection system consistently demonstrates high performance metrics. This study grounds FL's potential as an effective and privacy-preserving tool in the fight against fraud.  © 2013 IEEE.","2024","2025-02-19 08:50:27","2025-02-19 08:50:27","","64551-64560","","","12","","IEEE Access","","","","","","","","English","","","Scopus","","","","","","","","","Learning systems; Machine-learning; Explainable AI; Fraud detection; Federated learning; Fraud detection system; Transparency; Financial institution; Finance; machine learning; Crime; Fraud; Fraudulent transactions; Sales; Computational modelling; explainable AI; federated learning; Privacy-preserving techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26IGVK2A","journalArticle","2024","Ranjith, J.; Chandar, S.K.","Enhancing Stock Market Trend Prediction Using Explainable Artificial Intelligence and Multi-source Data","Fusion: Practice and Applications","","27700070 (ISSN)","10.54216/FPA.160211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201629045&doi=10.54216%2fFPA.160211&partnerID=40&md5=0c98cd96375a5917d38668bb4cb6923c","Determining the trend of the stock market is a complex task influenced by numerous factors like fundamental variables, company performance, investor behavior, sentiments expressed in social media, etc. Although machine learning models support predicting stock market trends using historical or social media data, reliance on a single data source poses a serious challenge. This study introduces a novel Explainable artificial intelligence (XAI) to address a binary classification problem wherein the objective is to predict the trend of the stock market, utilizing an integration of multiple data sources. The dataset includes trading data, news and Twitter sentiment, and technical indicators. Sentiment analysis and the Natural Language Toolkit are utilized to extract the qualitative information from social media data. Technical indicators, or quantitative characteristics, are therefore generated from trade data. The technical indicators are fused with the stock sentiment features to predict the future stock market trend. Finally, a machine learning model is employed for upward or downward stock trend predictions. The proposed model in this study incorporates XAI to interpret the results. The presented model is evaluated using five bank stocks, and the results are promising, outperforming other models by reporting a mean accuracy of 90.14%. Additionally, the proposed model is explainable, exposing the rationale behind the classifier and furnishing a complete set of interpretations for the attained outcomes. © 2024, American Scientific Publishing Group (ASPG). All rights reserved.","2024","2025-02-19 08:50:27","2025-02-19 08:50:27","","178-189","","2","16","","Fusion. Pract. Appl.","","","","","","","","English","","","Scopus","","","","","","","","","Stock market prediction; Machine learning; Explainable artificial intelligence; Sentiment analysis; Multi-source data; Technical indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2ME7NCL","journalArticle","2025","Habbab, F.Z.; Kampouridis, M.; Papastylianou, T.","Improving Real Estate Investment Trusts (REITs) time-series prediction accuracy using machine learning and technical analysis indicators","Artificial Intelligence Review","","02692821 (ISSN)","10.1007/s10462-024-11037-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214198950&doi=10.1007%2fs10462-024-11037-1&partnerID=40&md5=6a647806aa461dc2f71bd9eac209f22b","The primary goal of investors who include Real Estate Investment Trusts (REITs) in their portfolios is to achieve better returns while reducing the overall risk of their investments. REITs are entities responsible for owning and managing real estate properties. To achieve greater returns while reducing risk, it is essential to accurately predict future REIT prices. This study explores the predictive capability of five different machine learning algorithms used to predict REIT prices. These algorithms include Ordinary Least Squares Linear Regression, Support Vector Regression, k-Nearest Neighbours Regression, Extreme Gradient Boosting, and Long/Short-Term Memory Neural Networks. Additionally, historical REIT prices are supplemented with Technical Analysis indicators (TAIs) to aid in price predictions. While TA indicators are commonly used in stock market forecasting, their application in the context of REITs has remained relatively unexplored. The study applied these algorithms to predict future prices for 30 REITs from the United States, United Kingdom, and Australia, along with 30 stocks and 30 bonds. After obtaining our price predictions, we employ a Genetic Algorithm (GA) to optimise weights of a diversified portfolio. Our results reveal several key findings: (i) all machine learning algorithms demonstrated low average and standard deviation values in the error rate distributions, outperforming commonly used statistical benchmarks such as Holt’s Linear Trend Method (HLTM), Trigonometric Box-Cox Autoregressive Time Series (TBATS), and Autoregressive Integrated Moving Average (ARIMA); (ii) incorporating Technical Analysis indicators in the ML algorithms resulted in a significant reduction in prediction errors, up to 60% in some cases; and (iii) a multi-asset portfolio constructed using predictions that incorporated Technical Analysis indicators outperformed a portfolio based solely on predictions derived from past prices. Furthermore, this study employed Shapley Value-based techniques, specifically SHAP and SAGE, to analyse the importance of the features used in the analysis. These techniques provided additional evidence of the value added by Technical Analysis indicators in this context. © The Author(s) 2024.","2025","2025-02-19 08:50:27","2025-02-19 08:50:27","","","","3","58","","Artif Intell Rev","","","","","","","","English","","","Scopus","","","","","","","","","Financial time series; Machine-learning; Long short-term memory; Adversarial machine learning; Financial markets; Time series; Machine learning; Technical analysis; Prediction accuracy; Price prediction; Machine learning algorithms; Time series analysis; Support vector regression; Financial time-series; Predictive capabilities; Real estate investment trusts; Real estate properties; REITs; Time series prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAANFQP3","journalArticle","2023","Behera, R.K.; Bala, P.K.; Rana, N.P.","Creation of sustainable growth with explainable artificial intelligence: An empirical insight from consumer packaged goods retailers","Journal of Cleaner Production","","09596526 (ISSN)","10.1016/j.jclepro.2023.136605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149433439&doi=10.1016%2fj.jclepro.2023.136605&partnerID=40&md5=7f51990f48f2a3e4748677a13692a970","Consumer packaged goods retailers can pivot quickly to find new areas of sustainable growth and enable their businesses to compete effectively. Traditionally, they are losing ground to more agile and technologically focused competitors who quickly adapt their operations to shifting market conditions. As a result, such retailers must alter their core technologies. Explainable artificial intelligence is a set of procedures and strategies that allow machine learning algorithms and artificial intelligence models’ results and output to understand and trust. In the era of sustainable digitalisation, there is lack of research on the creation of sustainable growth with explainable artificial intelligence. Therefore, this study is undertaken to uncover how consumer packaged goods retailers can create sustainable growth with explainable artificial intelligence by proposing a unique conceptual model. The source data were collected from 310 individuals from consumer packaged goods retailers and the analysis was performed with quantitative research methodology. The findings suggest that explainable artificial intelligence has the potential to be a formidable weapon in the fight for sustainable growth. With the employment of automated machines, the best decisions for sustainable competitive advantage can be made. In addition, explainable artificial intelligence-powered automated wealth management services and algorithmic trading help to make better financial decisions. The theoretical implications argue the explainability of artificial intelligence systems to offer insights for making impactful decisions. The managerial implications highlight the benefits of the adoption of explainable artificial intelligence for sustainable growth, such as increase in trust, complying with legal regulations and providing data-driven actionable analytical insights. Sustainable growth set more responsibility towards customers for profitable future. © 2023 Elsevier Ltd","2023","2025-02-19 08:50:27","2025-02-19 08:50:27","","","","","399","","J. Clean. Prod.","","","","","","","","English","","","Scopus","","","","","","","","","Commerce; Machine learning; Learning algorithms; Explainable artificial intelligence; Machine learning algorithms; Business value; Competition; Competitive strategy; Consumer packaged goods; Core technology; Information system business value; Information systems business value; Laws and legislation; Market condition; Sales; Sustainable competitive advantage; Sustainable competitive advantages; Sustainable development; Sustainable growth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQWZ97XI","conferencePaper","2024","Mohite, R.; Ouarbya, L.","Interpretable Anomaly Detection: A Hybrid Approach Using Rule-Based and Machine Learning Techniques","IEEE Int. Conf. Converg. Technol., I2CT","979-835039447-4 (ISBN)","","10.1109/I2CT61223.2024.10543396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196782135&doi=10.1109%2fI2CT61223.2024.10543396&partnerID=40&md5=f671e27eb4d475d2a8ef6c4977d5a31f","Anomaly detection is a critical aspect of ensuring the security and reliability of various systems in diverse domains, including cybersecurity, finance, and industrial processes. Traditional black-box anomaly detection methods often lack interpretability, making it challenging for users to understand the reasoning behind the detection of anomalies. In this research, we propose a novel hybrid approach that combines rule-based and machine learning techniques to enhance the interpretability of anomaly detection systems. Our method integrates a rule-based system that generates interpretable anomaly detection rules with machine learning components that leverage complex pattern recognition and classification capabilities. We evaluate the proposed approach on a diverse set of real-world datasets, demonstrating its effectiveness in identifying anomalies while providing transparent explanations of the detection process. Through comprehensive experimentation and comparative analysis with existing state-of-the-art methods, we showcase the superior interpretability and performance of our hybrid approach. Our findings highlight the significance of interpretability in anomaly detection systems and underscore the potential of the proposed approach for enhancing transparency and trust in critical decision-making processes. This research contributes to the advancement of interpretable anomaly detection techniques and opens avenues for future research in the domain of transparent and reliable anomaly detection systems. © 2024 IEEE.","2024","2025-02-19 08:50:26","2025-02-19 08:50:26","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","","","","","Interpretability; Learning systems; Machine-learning; Explainable AI; Rules based systems; Machine learning; Anomaly detection; Decision making; Learning algorithms; Transparency; Financial fraud detections; Financial fraud detection; Classification; Cyber security; Cybersecurity; Data analysis; Hybrid approach; Industrial processes; Industrial processs; Machine components; Outlier analysis; Pattern recognition; Rule-based systems; Trustworthy AI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE 9th International Conference for Convergence in Technology, I2CT 2024","","","","","","","","","","","","","","",""
"83N7QGJI","conferencePaper","2024","Rathi, C.; Singh, D.; Bhatnagar, A.; Ratna, S.; Ojha, M.K.","Time Series Forecasting for Stock Price Movement: Leveraging NLP for Stock Market Prediction","Lect. Notes Networks Syst.","23673370 (ISSN); 978-981977359-6 (ISBN)","","10.1007/978-981-97-7360-2_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216090752&doi=10.1007%2f978-981-97-7360-2_13&partnerID=40&md5=e1a45bb0d09de815ad64900745000e4d","This paper delves into the critical realm of stock market prediction, exploring the innovative role of Natural Language Processing (NLP). Traditionally, stock market forecasting has faced challenges due to reliance on historical data and economic indicators, often resulting in limited accuracy. NLP, however, offers a transformative approach by analysing vast volumes of textual data from sources like news articles, social media, and financial reports. Through sentiment analysis, trend identification, and company health assessment, NLP uncovers valuable insights that influence stock prices. The paper reviews existing research methodologies, integrating NLP with machine learning and deep learning models to predict market trends and sentiments. It highlights NLP's strengths in analysing unstructured data, uncovering hidden relationships, and providing real-time insights. Despite its advantages, NLP faces limitations such as biases in training data and challenges in interpreting nuanced language. The paper concludes by proposing future directions like explainable AI and incorporating alternative data sources, emphasizing NLP's potential to revolutionize stock market prediction while acknowledging the need for integrated approaches in financial analysis. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.","2024","2025-02-19 08:50:26","2025-02-19 08:50:26","","147-158","","","1127 LNNS","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","","","","","","Risk management; Deep learning; Machine-learning; Adversarial machine learning; Stock market prediction; Machine learning; Prediction models; Market trends; Risks management; Marketplaces; Sentiment analysis; Natural language processing; Predictive models; Alternative data source; Alternative data sources; Consumer behavior; Customer review; Customer reviews; Data driven; Data-driven insight; Data-driven insights; Data-source; Explainable AI (XAI); Financial analysis; Financial indicator; Financial indicators; Investment strategies; Investment strategy; Language processing; Market sentiment; Multi-modal learning; Multimodal learning; Natural Language Processing (NLP); Natural languages; Prediction systems; Predictive modeling; Real-time prediction; Real-time prediction system; Real-time prediction systems; Text classification","Tiwari S.; Trivedi M.C.; Kolhe M.L.; Singh B.K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Networks and Systems","","","","","","","","","","","","","","",""
