test_index,candidate,pred_label,precision_B,coverage_empirical
2,natural,1,0.965,0.18064516129032257
2,skin,1,0.97,0.16129032258064516
2,certified,1,0.97,0.03225806451612903
2,plant,1,1.0,0.05161290322580645
2,non,1,0.955,0.01935483870967742
10,derived,1,0.915,0.025806451612903226
10,naturally derived,1,0.99,0.025806451612903226
10,skin,1,0.805,0.16129032258064516
10,naturally,1,0.9,0.05161290322580645
10,skincare,1,0.87,0.05161290322580645
14,planet,1,0.715,0.03870967741935484
14,free,1,0.7,0.05806451612903226
15,organic,1,0.985,0.05161290322580645
15,oil,1,0.965,0.07096774193548387
15,hair,1,0.935,0.10967741935483871
15,trade,1,0.91,0.01935483870967742
15,butter,1,0.925,0.03225806451612903
15,trade organic,1,1.0,0.01935483870967742
15,cocoa,1,0.945,0.012903225806451613
16,products,1,0.91,0.09032258064516129
16,skin,1,0.895,0.16129032258064516
16,vegan,1,1.0,0.03225806451612903
17,organic,1,1.0,0.05161290322580645
17,ingredients,1,0.99,0.05806451612903226
17,hair,1,0.955,0.10967741935483871
17,certified,1,0.98,0.03225806451612903
18,products,1,0.985,0.09032258064516129
18,natural,1,0.965,0.18064516129032257
18,skin,1,0.95,0.16129032258064516
18,vegan,1,1.0,0.03225806451612903
18,skincare,1,0.975,0.05161290322580645
18,enriched,1,0.965,0.01935483870967742
24,sustainable,1,1.0,0.03225806451612903
24,planet,1,0.865,0.03870967741935484
25,sustainable,1,1.0,0.03225806451612903
25,products,1,0.94,0.09032258064516129
25,natural,1,0.96,0.18064516129032257
25,green,1,0.925,0.05806451612903226
27,ingredients,1,0.815,0.05806451612903226
27,products,1,0.815,0.09032258064516129
27,derived,1,0.74,0.025806451612903226
27,naturally derived,1,0.78,0.025806451612903226
27,naturally,1,0.745,0.05161290322580645
27,derived ingredients,1,0.82,0.0064516129032258064
28,vegan,1,1.0,0.03225806451612903
28,green,1,0.81,0.05806451612903226
37,ingredients,1,0.865,0.05806451612903226
37,natural ingredients,1,1.0,0.01935483870967742
37,natural,1,0.985,0.18064516129032257
39,natural,1,0.985,0.18064516129032257
39,nature,1,0.985,0.025806451612903226
39,range,1,0.975,0.01935483870967742
39,essential,1,0.98,0.01935483870967742
42,ingredients,1,0.905,0.05806451612903226
42,natural ingredients,1,0.995,0.01935483870967742
42,natural,1,0.89,0.18064516129032257
42,world,1,0.76,0.03225806451612903
43,skin,1,0.585,0.16129032258064516
43,naturally,1,0.535,0.05161290322580645
43,skincare,1,0.515,0.05161290322580645
44,oil,1,0.615,0.07096774193548387
44,natural,1,0.8,0.18064516129032257
44,skin,1,0.505,0.16129032258064516
47,organic,1,0.965,0.05161290322580645
47,oil,1,0.915,0.07096774193548387
47,skin,1,0.875,0.16129032258064516
47,nature,1,0.915,0.025806451612903226
47,plant,1,0.96,0.05161290322580645
47,love,1,0.885,0.06451612903225806
47,trade,1,0.925,0.01935483870967742
47,range,1,0.91,0.01935483870967742
47,community trade,1,0.885,0.012903225806451613
47,trade organic,1,0.97,0.01935483870967742
47,enriched,1,0.915,0.01935483870967742
47,community,1,0.925,0.012903225806451613
50,oil,1,0.885,0.07096774193548387
50,coconut,1,0.925,0.012903225806451613
50,butter,1,0.815,0.03225806451612903
50,coconut oil,1,0.94,0.0064516129032258064
50,cocoa,1,0.855,0.012903225806451613
56,products,1,0.925,0.09032258064516129
56,hair,1,0.895,0.10967741935483871
56,love,1,0.895,0.06451612903225806
56,planet,1,0.935,0.03870967741935484
56,care,1,0.895,0.04516129032258064
56,plastic,1,0.925,0.0064516129032258064
56,environmentally,1,1.0,0.0064516129032258064
58,organic,1,0.91,0.05161290322580645
58,hair,1,0.695,0.10967741935483871
58,nature,1,0.745,0.025806451612903226
58,botanical,1,0.845,0.01935483870967742
60,organic,1,0.99,0.05161290322580645
60,oil,1,0.885,0.07096774193548387
60,certified,1,0.87,0.03225806451612903
60,essential,1,0.85,0.01935483870967742
61,skin,1,0.655,0.16129032258064516
61,love,1,0.665,0.06451612903225806
61,bio,1,0.7,0.01935483870967742
61,hydration,1,0.705,0.012903225806451613
61,skincare,1,0.71,0.05161290322580645
61,free,1,0.63,0.05806451612903226
63,sustainable,1,1.0,0.03225806451612903
64,skin,1,0.93,0.16129032258064516
64,sourced,1,0.98,0.012903225806451613
64,bio,1,0.98,0.01935483870967742
69,green,1,0.97,0.05806451612903226
69,sourced,1,0.99,0.012903225806451613
69,clean,1,0.975,0.01935483870967742
70,hair,1,0.96,0.10967741935483871
70,vegan,1,1.0,0.03225806451612903
70,plant,1,0.995,0.05161290322580645
70,cruelty,1,0.985,0.01935483870967742
70,cruelty free,1,1.0,0.01935483870967742
70,botanical,1,1.0,0.01935483870967742
70,free,1,0.995,0.05806451612903226
71,oil,1,0.845,0.07096774193548387
71,skin,1,0.79,0.16129032258064516
71,botanical,1,0.96,0.01935483870967742
72,sustainability,1,0.985,0.0064516129032258064
76,skin,1,0.63,0.16129032258064516
76,plant,1,0.885,0.05161290322580645
76,care,1,0.645,0.04516129032258064
76,skincare,1,0.74,0.05161290322580645
76,effective,1,0.69,0.01935483870967742
80,organic,1,1.0,0.05161290322580645
80,products,1,1.0,0.09032258064516129
80,oil,1,1.0,0.07096774193548387
80,vegan,1,1.0,0.03225806451612903
80,certified,1,1.0,0.03225806451612903
80,free,1,1.0,0.05806451612903226
82,natural,1,0.855,0.18064516129032257
82,skin,1,0.555,0.16129032258064516
84,natural,1,0.99,0.18064516129032257
84,planet,1,0.95,0.03870967741935484
85,organic,1,0.98,0.05161290322580645
85,oil,1,0.905,0.07096774193548387
85,skin,1,0.845,0.16129032258064516
85,trade,1,0.86,0.01935483870967742
85,community trade,1,0.895,0.012903225806451613
85,trade organic,1,0.995,0.01935483870967742
85,enriched,1,0.86,0.01935483870967742
85,community,1,0.855,0.012903225806451613
85,free,1,0.855,0.05806451612903226
88,ingredients,1,0.735,0.05806451612903226
88,natural ingredients,1,1.0,0.01935483870967742
88,natural,1,0.82,0.18064516129032257
88,skin,1,0.605,0.16129032258064516
90,hair,1,0.66,0.10967741935483871
90,botanicals,1,0.985,0.012903225806451613
90,kew,1,0.64,0.012903225806451613
100,food,1,0.49,0.012903225806451613
101,plant,1,0.84,0.05161290322580645
101,means,1,0.735,0.012903225806451613
102,products,1,0.995,0.09032258064516129
102,natural,1,1.0,0.18064516129032257
102,beauty,1,0.985,0.025806451612903226
102,skincare,1,0.99,0.05161290322580645
102,clean,1,0.985,0.01935483870967742
115,ingredients,1,1.0,0.05806451612903226
115,derived,1,1.0,0.025806451612903226
115,naturally derived,1,1.0,0.025806451612903226
115,naturally,1,1.0,0.05161290322580645
115,plant,1,1.0,0.05161290322580645
115,cruelty,1,0.995,0.01935483870967742
115,cruelty free,1,1.0,0.01935483870967742
