Code,Description,Budget,Cordis Link,Website
Bioacoustic AI for wildlife protection,"Biodiversity loss is ranked as one of the top five global risks, both in impact and likelihood. Anticipated significant declines in bird and insect populations could trigger profound ecological changes. Yet, data for monitoring biodiversity change remain incomplete. Sound recording could help: it is cheap and rapid, and modern machine learning can radically improve its precision. However, there are two barriers: AI-enhanced acoustic tools for wildlife monitoring are mostly at prototype stage; and there is a big skills gap – it is very rare to find an expert in animals, sound, and AI methods. The MSCA-funded BioacAI project will address these challenges by developing new AI methods directly within the context of acoustic wildlife monitoring – using new acoustic devices, algorithms, and insights into ecology and behaviour.",2389528.8,https://cordis.europa.eu/project/id/101116715,http://www.naturalis.nl/
Magnetic soft matter for robotics,"This doctoral network (DN) responds to the existing demand for training of a new generation of experts in the emerging sub-field of soft robotics relying on the control of material properties by a magnetic field – magnetic soft robotics. Materials involved are elastomers and complementary liquids, filled with micro- and nanometer-sized magnetic particles. Because the technical problems and tasks involved are complex and require knowledge from different fields of science and technology, the consortium is composed of 7 academic and 2 industrial beneficiaries originating from biology, materials science, physics and robotic engineering. Further 3 associated partners are involved in research and transferable-skills training. The research program will be directed towards demonstration of a number of mobile robots and robot gripping devices with the necessary electronic and control systems, where the essential functional parameters (e.g. the friction coefficient of the robot shoe or the stiffness of the finger joint, etc.) are controlled by permanent or electro-magnets. On the way to the functional prototypes, the synthesis-structure-properties relationships of magnetic soft matter are to be investigated both experimentally and theoretically, because, hitherto, the required dependencies are not available and the underlying physical phenomena are not completely understood. The mechanical part of the soft mobile robots with integrated magnetic soft matter, the necessary electrical and magnetic control circuits, and the adaptive control algorithms for real-time magnetic field tuning and robot behavior generation are to be developed. The carefully designed training program will provide the necessary minimum of interdisciplinary specialist knowledge to all doctoral candidates and prepare them for meeting the challenges in their subsequent careers be that in academia, industry or as entrepreneurs, e.g. by obligatory exposure to industrial environment during secondments.",2356970.4,https://cordis.europa.eu/project/id/101119614,na
ElectroChemiLuminescence doctoral network for early sepsis diagnosis,"Sepsis and bacterial infections are leading causes of death in hospitals with more than 500 thousand casualties yearly. The early infection diagnosis as well as early microbial treatment are of great importance. However, effective treatment is hampered by misuse of antimicrobial drugs, leading to resistant bacterial pathogens, high risks of infection recurrence and patient mortality as well as increased medical costs. Thus, there is a need for fast and reliable sensors systems for diagnosis of sepsis reducing the time-to-report from several days or weeks to hours, facilitating the early delivery of appropriate anti- bacteria therapy.
ECLectic network will address the worldwide problem of sepsis and bacterial infection by developing the next generation of sensing platforms, providing entirely new diagnostic paradigms. ECLectic will develop, optimize, and assess novel biosensors based on electrochemiluminescence by combining different nano- and microstructured materials and fluidic devices. ECLectic will ultimately result in novel fast and reliable point-of-care devices with applications of bacterial infection analysis, monitoring of disease recurrence, and progression. It will close the gap between innovative research in the field of nanostructured materials and their application in biosensing technology.
ECLectic will create a Center of Excellence in Europe for the training of young researchers in the research and development of sensing platforms for bacterial infection and sepsis. By training, ECLectic will provide highly skilled European researchers for academic research in biodetection, materials, microfluidics and electrochemistry as well as for the European biosensor industry. ECLectic will generate a flexible cluster of excellent young researchers ready to tackle the European challenges in the development of novel detection platform for bacterial infection. They will be trained well to become leaders in industrial as well as academic research and development.",2639419.2,https://cordis.europa.eu/project/id/101119951,na
A training network for the design of synthetic carbohydrate-based vaccines in the fight against multi-drug resistant nosocomial pathogen Acinetobacter baumannii,"Bacterial infections impose significant medical and socio-economic burdens, with the rise of antimicrobial-resistant bacteria necessitating new treatment approaches. Glycoconjugate vaccines (GV) play a critical role in combating these bacterial strains by connecting antigens to carriers, resulting in long-term immunity. The EU-funded ACINETWORK project is dedicated to developing a vaccine targeting Acinetobacter baumannii strains, known for causing severe infections. Currently, no vaccine exists against these strains. The project aims to leverage synthetic oligosaccharide antigens to create vaccines characterised by well-defined composition, higher purity, and enhanced safety profiles. This method is more rapid and cost-effective. Additionally, the project seeks to provide training to young experts in the design of these medical solutions.",2689603.2,https://cordis.europa.eu/project/id/101119795,http://www.unimi.it/
Intelligent Breast Cancer DiagnOsis and MonItoring Therapeutic Response Training Network,"Breast cancer diagnosis and treatment face persistent challenges, with current methods often lacking the precision and ease of use required for optimal patient care. Existing techniques may lead to misdiagnosis, delayed intervention or non-adapted treatment. With the support of the Marie Skłodowska-Curie Actions programme, the CanDoIt project aims to integrate breakthrough technology – a multimodal, multi-physical biosensor array for the identification and quantification of peripheral biomarkers in liquid biopsies. By collaborating with industry and academia, the project will develop breast cancer diagnostic technologies and establish a high-impact structure for extensive dissemination. The overall goal is to revolutionise breast cancer research and treatment, bringing forth a new era of accuracy and efficiency in diagnostics and therapeutic monitoring.",2650190.4,https://cordis.europa.eu/project/id/101120186,http://www.ec-lille.fr/
Human footprint on water from remote cold areas to the tropical belt. INtegrated Approach TO secure water QUAlity by exploiting Sustainable processes,"Water pollution is a significant challenge, necessitating the emergence of a new generation of innovators in urban water system management. The MSCA-funded IN2AQUAS project will train 15 PhD candidates who will address the environmental impact of pollution and develop effective treatments to produce safe and clean water, even in extreme conditions. The project will employ environmentally friendly approaches and prioritise high-quality research, training, management and innovation. The programme provides training with a strong focus on sustainable management systems, water reuse, nutrient recovery and the synthesis of environmentally friendly materials. The overarching goals include assessing water quality, predicting environmental responses, restoring water quality with minimal waste discharge, and streamlining processing and integration.",4054233.6,https://cordis.europa.eu/project/id/101119555,http://www.unito.it/
"Dryland agriculture and Land use; past, present and future resilience [AGRI-DRY]","In an era where traditional agriculture is making a global resurgence, a critical challenge looms: how to bridge the gap between heritage and sustainability. As societies seek to reconnect with ancestral farming practices, they face the task of harmonising ancient wisdom with modern environmental demands. With the support of the Marie Skłodowska-Curie Actions programme, the AGRI-DRY project aims to transform European and African doctoral training in traditional agriculture. This transformation involves rigorous interdisciplinary research techniques and a dual emphasis on research and practical application. By bridging the gap between academia and policymaking institutions, AGRI-DRY promises to empower a new generation of researchers and advocates.",1915401.6,https://cordis.europa.eu/project/id/101120560,http://www.upf.edu/
GLYCOprotein N-glycosylation from non-life to eukaryotes: a Doctoral Network to expand the knowledge on a ubiquitous posttranslational modification of proteins,"The GLYCO-N training network aims at training Doctoral Candidates (DCs) to acquire the skills to develop different innovative strategies to 1) understand the diversity and structural complexity of archaeal, microalgal and viral N-glycosylation and 2) harness this knowledge for new solutions in biomedicine and biotechnology.
Protein N-glycosylation, or the attachment of oligo- and polysaccharides at specific asparagine residues, is conserved throughout life, and is now observed even in the viral world. In contrast to eukaryotes, whose well-studied N-glycosylation machineries are relatively simple, archaea, microalgae and bacteria utilize a wide variety of monosaccharides to create a wealth of structurally diverse N-glycans, and the same holds true for some recently discovered viruses. Because protein glycosylation occurs far downstream of protein synthesis the complexity and diversity in N-glycan structures are poorly understood in detail. This holds true specifically for N-glycosylation events that are the subject of the GLYCO-N program: those in archaea, microalgae and viruses.
Understanding of the how and why of N-glycosylation in archaea, microalgae and viruses will open up many possibilities ranging from drug discovery (antivirals) to biotechnology (glycoprotein and glycoprocessing enzyme engineering for materials and life sciences).
The GLYCO-N network brings together a diverse group of glycobiology researchers with world-leading expertise in microbiology, (bio)organic chemistry, computational and structural biology, bioinformatics and chemical biology. The GLYCO-N DCs will have their own individual project with one GLYCO-N expert and will, through research internships, be exposed to complementary Glycoscience. All individual PhD projects, while rooted in fundamental science, have a practical application, either in biotechnology or in biomedicine, as will be explored through secondments with our associated partners.",2677118.4,https://cordis.europa.eu/project/id/101119499,na
"Sustainable production, processing and modelling of durable additive manufactured materials for enhanced performance and long-term service in complex environments.","The diminishing reserves of natural metal resources and the unsustainable production and processing of metal, which demand substantial energy, water and chemical usage, highlight the urgency for innovative solutions in the industry. Metal additive manufacturing (AM) holds promise as a solution, but current versions require consistent metal quality. The MSCA-funded DurAMat project will address this issue by developing AM solutions that facilitate the use of various alloys and metal functionalisation, thereby making AM a preferred choice for repairing obsolete metallic products. Ultimately, this project will enhance knowledge about AM and enable the utilisation of metal AM in harsh environmental conditions.",2643703.2,https://cordis.europa.eu/project/id/101119767,http://www.vub.ac.be/
Gnss-r sateLlITe earTh obsERvation,"GNSS-R is a technique to carry out Earth observation based on reflections on the ground (or sea, or ice) of signals originating from GNSS (Global Navigation Satellite System) signals. The proposed project consists of educating a new generation of experts, at doctoral level, able to bring a qualitative leap to this technology. The scientific and technological goal consists of developing such systems based on a synchronized constellation of Cubesats. An important advantage of this arrangement is the very low cost of cubesats and the possibility to increase resolution based on beamforming from the satellites. Ground truth, as well as some of the methods, will originate from near-field radar technology. This will require further research on all segments of GNSS-R technology and beyond: launching and adjustment of cubesat formations, RF synchronization, interferometry between moving platforms, calibration of RF front-ends, ground testing making use of drones, cubesat systems, on-board processing, data transfer and analysis, translation into ground truth and into predictions important for climate change studies and for optimal territory management. The project may also benefit to other technologies making use of interferometry, such as radio-astronomy and phased array based communications. It is also expected to assist industry segments making use of GNSS signals, such as precision agriculture, forestry and sea and land management.",2667448.8,https://cordis.europa.eu/project/id/101120117,na
