date,tic,close
2023-01-01,CASH,1000
2023-01-02,CASH,1000
2023-01-03,CASH,1000
2023-01-04,CASH,1000
2023-01-05,CASH,1000
2023-01-06,CASH,1000
2023-01-07,CASH,1000
2023-01-08,CASH,1000
2023-01-09,CASH,1000
2023-01-10,CASH,1000
2023-01-11,CASH,1000
2023-01-12,CASH,1000
2023-01-13,CASH,1000
2023-01-14,CASH,1000
2023-01-15,CASH,1000
2023-01-16,CASH,1000
2023-01-17,CASH,1000
2023-01-18,CASH,1000
2023-01-19,CASH,1000
2023-01-20,CASH,1000
2023-01-21,CASH,1000
2023-01-22,CASH,1000
2023-01-23,CASH,1000
2023-01-24,CASH,1000
2023-01-25,CASH,1000
2023-01-26,CASH,1000
2023-01-27,CASH,1000
2023-01-28,CASH,1000
2023-01-29,CASH,1000
2023-01-30,CASH,1000
2023-01-31,CASH,1000
2023-02-01,CASH,1000
2023-02-02,CASH,1000
2023-02-03,CASH,1000
2023-02-04,CASH,1000
2023-02-05,CASH,1000
2023-02-06,CASH,1000
2023-02-07,CASH,1000
2023-02-08,CASH,1000
2023-02-09,CASH,1000
2023-02-10,CASH,1000
2023-02-11,CASH,1000
2023-02-12,CASH,1000
2023-02-13,CASH,1000
2023-02-14,CASH,1000
2023-02-15,CASH,1000
2023-02-16,CASH,1000
2023-02-17,CASH,1000
2023-02-18,CASH,1000
2023-02-19,CASH,1000
2023-02-20,CASH,1000
2023-02-21,CASH,1000
2023-02-22,CASH,1000
2023-02-23,CASH,1000
2023-02-24,CASH,1000
2023-02-25,CASH,1000
2023-02-26,CASH,1000
2023-02-27,CASH,1000
2023-02-28,CASH,1000
2023-03-01,CASH,1000
2023-03-02,CASH,1000
2023-03-03,CASH,1000
2023-03-04,CASH,1000
2023-03-05,CASH,1000
2023-03-06,CASH,1000
2023-03-07,CASH,1000
2023-03-08,CASH,1000
2023-03-09,CASH,1000
2023-03-10,CASH,1000
2023-03-11,CASH,1000
2023-03-12,CASH,1000
2023-03-13,CASH,1000
2023-03-14,CASH,1000
2023-03-15,CASH,1000
2023-03-16,CASH,1000
2023-03-17,CASH,1000
2023-03-18,CASH,1000
2023-03-19,CASH,1000
2023-03-20,CASH,1000
2023-03-21,CASH,1000
2023-03-22,CASH,1000
2023-03-23,CASH,1000
2023-03-24,CASH,1000
2023-03-25,CASH,1000
2023-03-26,CASH,1000
2023-03-27,CASH,1000
2023-03-28,CASH,1000
2023-03-29,CASH,1000
2023-03-30,CASH,1000
2023-03-31,CASH,1000
2023-04-01,CASH,1000
2023-04-02,CASH,1000
2023-04-03,CASH,1000
2023-04-04,CASH,1000
2023-04-05,CASH,1000
2023-04-06,CASH,1000
2023-04-07,CASH,1000
2023-04-08,CASH,1000
2023-04-09,CASH,1000
2023-04-10,CASH,1000
2023-04-11,CASH,1000
2023-04-12,CASH,1000
2023-04-13,CASH,1000
2023-04-14,CASH,1000
2023-04-15,CASH,1000
2023-04-16,CASH,1000
2023-04-17,CASH,1000
2023-04-18,CASH,1000
2023-04-19,CASH,1000
2023-04-20,CASH,1000
2023-04-21,CASH,1000
2023-04-22,CASH,1000
2023-04-23,CASH,1000
2023-04-24,CASH,1000
2023-04-25,CASH,1000
2023-04-26,CASH,1000
2023-04-27,CASH,1000
2023-04-28,CASH,1000
2023-04-29,CASH,1000
2023-04-30,CASH,1000
2023-05-01,CASH,1000
2023-05-02,CASH,1000
2023-05-03,CASH,1000
2023-05-04,CASH,1000
2023-05-05,CASH,1000
2023-05-06,CASH,1000
2023-05-07,CASH,1000
2023-05-08,CASH,1000
2023-05-09,CASH,1000
2023-05-10,CASH,1000
2023-05-11,CASH,1000
2023-05-12,CASH,1000
2023-05-13,CASH,1000
2023-05-14,CASH,1000
2023-05-15,CASH,1000
2023-05-16,CASH,1000
2023-05-17,CASH,1000
2023-05-18,CASH,1000
2023-05-19,CASH,1000
2023-05-20,CASH,1000
2023-05-21,CASH,1000
2023-05-22,CASH,1000
2023-05-23,CASH,1000
2023-05-24,CASH,1000
2023-05-25,CASH,1000
2023-05-26,CASH,1000
2023-05-27,CASH,1000
2023-05-28,CASH,1000
2023-05-29,CASH,1000
2023-05-30,CASH,1000
2023-05-31,CASH,1000
2023-06-01,CASH,1000
2023-06-02,CASH,1000
2023-06-03,CASH,1000
2023-06-04,CASH,1000
2023-06-05,CASH,1000
2023-06-06,CASH,1000
2023-06-07,CASH,1000
2023-06-08,CASH,1000
2023-06-09,CASH,1000
2023-06-10,CASH,1000
2023-06-11,CASH,1000
2023-06-12,CASH,1000
2023-06-13,CASH,1000
2023-06-14,CASH,1000
2023-06-15,CASH,1000
2023-06-16,CASH,1000
2023-06-17,CASH,1000
2023-06-18,CASH,1000
2023-06-19,CASH,1000
2023-06-20,CASH,1000
2023-06-21,CASH,1000
2023-06-22,CASH,1000
2023-06-23,CASH,1000
2023-06-24,CASH,1000
2023-06-25,CASH,1000
2023-06-26,CASH,1000
2023-06-27,CASH,1000
2023-06-28,CASH,1000
2023-06-29,CASH,1000
2023-06-30,CASH,1000
2023-07-01,CASH,1000
2023-07-02,CASH,1000
2023-07-03,CASH,1000
2023-07-04,CASH,1000
2023-07-05,CASH,1000
2023-07-06,CASH,1000
2023-07-07,CASH,1000
2023-07-08,CASH,1000
2023-07-09,CASH,1000
2023-07-10,CASH,1000
2023-07-11,CASH,1000
2023-07-12,CASH,1000
2023-07-13,CASH,1000
2023-07-14,CASH,1000
2023-07-15,CASH,1000
2023-07-16,CASH,1000
2023-07-17,CASH,1000
2023-07-18,CASH,1000
2023-07-19,CASH,1000
2023-07-20,CASH,1000
2023-07-21,CASH,1000
2023-07-22,CASH,1000
2023-07-23,CASH,1000
2023-07-24,CASH,1000
2023-07-25,CASH,1000
2023-07-26,CASH,1000
2023-07-27,CASH,1000
2023-07-28,CASH,1000
2023-07-29,CASH,1000
2023-07-30,CASH,1000
2023-07-31,CASH,1000
2023-08-01,CASH,1000
2023-08-02,CASH,1000
2023-08-03,CASH,1000
2023-08-04,CASH,1000
2023-08-05,CASH,1000
2023-08-06,CASH,1000
